airline,origin,dest,month,day_of_week,hour,distance,delayed
AS,LAX,JFK,2,4,8,2475,0
AA,SEA,BOS,2,5,13,775,0
UA,LAX,BOS,6,3,9,265,1
B6,SEA,DEN,10,4,11,1024,0
AS,BOS,MIA,5,3,13,1258,1
AA,MIA,PHX,12,2,10,1281,0
UK,MAA,BOM,6,2,9,640,1
AI,AMD,PNQ,2,2,18,1190,0
IX,BLR,COK,8,0,19,230,1
DL,SEA,MIA,9,1,19,844,0
UK,BOM,BLR,9,4,13,520,1
B6,SFO,LAS,2,3,19,414,1
6E,BLR,GOI,5,6,20,310,1
IX,COK,BLR,6,4,7,230,1
B6,LAS,LAX,10,2,8,567,1
AA,SEA,JFK,2,6,14,1322,0
AI,HYD,BOM,4,4,16,390,1
UK,BOM,HYD,5,6,13,390,1
AS,BOS,DFW,9,5,13,1071,1
UA,ORD,JFK,3,5,10,740,0
UK,AMD,DEL,6,5,16,470,1
WN,ORD,SEA,2,5,12,1133,1
AI,CCU,BOM,2,1,15,1030,1
F9,JFK,SFO,8,4,10,178,0
UK,DEL,AMD,4,3,17,470,0
WN,JFK,LAS,4,6,10,831,1
SG,GOI,HYD,11,3,7,527,1
B6,DEN,ORD,8,5,18,888,1
SG,COK,GOI,3,0,7,843,1
WN,LAS,MIA,3,6,16,513,1
IX,BOM,GOI,7,0,10,265,0
WN,ORD,MIA,11,1,21,294,1
B6,SEA,DEN,5,6,6,1024,0
AI,COK,GOI,1,0,6,1188,1
UK,CCU,AMD,1,1,10,537,0
WN,LAS,JFK,12,0,8,437,1
F9,ORD,DEN,12,4,18,888,1
B6,MIA,ATL,9,5,7,595,1
AA,LAS,LAX,2,3,14,978,0
IX,MAA,GOI,8,3,7,942,1
QP,HYD,DEL,2,4,8,780,0
IX,CCU,AMD,1,4,6,509,1
QP,HYD,CCU,8,6,20,740,1
AI,COK,HYD,2,4,22,1234,1
6E,BLR,COK,11,5,22,230,1
AA,ORD,DEN,10,2,10,888,1
B6,LAS,ORD,7,1,13,294,1
6E,GOI,BOM,6,4,14,265,1
QP,GOI,CCU,11,5,20,820,1
AI,BLR,COK,7,6,12,230,1
IX,GOI,MAA,2,5,6,214,0
IX,AMD,GOI,3,6,10,1152,0
B6,LAS,MIA,10,3,10,792,0
QP,HYD,PNQ,3,1,6,324,1
SG,HYD,BLR,7,2,18,310,1
UA,DFW,DEN,12,4,21,641,1
UK,MAA,COK,6,4,8,340,1
NK,DEN,ATL,9,0,8,896,0
QP,GOI,PNQ,2,4,18,230,1
AS,ORD,LAS,3,5,12,892,0
F9,ORD,PHX,9,4,5,268,1
AI,CCU,DEL,6,3,17,810,1
B6,LAS,JFK,8,0,21,1206,1
AI,MAA,PNQ,6,6,18,410,1
AS,MIA,BOS,4,5,11,1258,0
IX,BOM,DEL,7,3,18,710,1
WN,LAS,PHX,10,4,13,256,1
AA,SEA,PHX,6,0,9,1107,1
IX,CCU,MAA,9,3,5,850,1
WN,LAS,DEN,4,3,5,527,0
B6,ORD,LAX,1,6,17,1744,1
6E,COK,CCU,8,0,16,929,0
AI,COK,BLR,2,5,18,230,1
UA,PHX,SEA,1,0,7,1107,1
AA,DFW,PHX,11,1,6,986,0
NK,BOS,MIA,11,3,5,1258,1
QP,MAA,CCU,7,4,6,850,1
NK,DFW,ATL,4,0,17,803,1
IX,PNQ,DEL,1,1,20,730,0
UK,AMD,DEL,5,6,15,470,0
WN,SFO,BOS,2,1,22,826,1
UA,SEA,DFW,12,1,7,727,1
SG,BOM,COK,2,6,10,670,1
QP,CCU,MAA,12,2,7,850,1
WN,SFO,DEN,1,2,12,746,1
WN,DEN,SFO,9,3,16,883,1
AS,SFO,DEN,6,3,16,807,1
UA,PHX,SFO,12,5,14,1066,0
SG,GOI,MAA,6,0,7,219,0
AI,DEL,BLR,5,3,8,1080,1
F9,ATL,JFK,9,5,12,760,1
UA,SEA,ORD,5,3,22,245,0
IX,COK,PNQ,9,5,11,1307,1
SG,CCU,PNQ,2,4,7,672,0
NK,DFW,PHX,12,4,7,778,1
UK,COK,AMD,6,3,13,1298,1
DL,PHX,ATL,3,1,10,392,0
UK,COK,DEL,3,5,20,1280,0
WN,SEA,BOS,8,0,18,608,1
IX,HYD,AMD,7,5,17,1215,1
UA,SFO,ORD,5,2,15,773,0
AI,HYD,COK,8,4,12,371,1
6E,DEL,PNQ,9,3,12,730,0
6E,BLR,HYD,9,3,16,310,0
F9,JFK,LAS,8,6,14,1050,0
WN,ATL,BOS,7,5,19,700,1
WN,PHX,ORD,2,2,19,1067,0
AI,BLR,BOM,7,5,22,520,0
UK,COK,BLR,5,0,19,230,1
B6,MIA,DEN,6,5,9,196,1
UK,DEL,COK,10,4,16,1280,0
NK,BOS,LAX,1,6,9,277,1
SG,CCU,GOI,9,3,5,1099,0
WN,LAS,DFW,11,3,11,1124,1
NK,LAS,LAX,4,3,20,1232,1
